mdb_source_id,data_type,provider,status,direct_download,rules,matched_text
240,gtfs,Butler County Regional Transit Authority,inactive,https://www.butlercountyrta.com/wp-content/uploads/2019/11/Bcrta-GTFS-1.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2019/11/|2019
269,gtfs,Microsoft Shuttles,inactive,https://github.com/cookieguru/microsoft-gtfs/releases/download/20150518150359/gtfs_20150518150359.zip,iso_date,20150518150359
561,gtfs,"LISERCO, LINCOSUR, LISANCO",inactive,http://datos.gob.cl/dataset/c77c9a50-6dd1-449d-b5ab-947ec0139b31/resource/a4edcf07-0657-456d-bbbc-54b2aec1de8d/download/coquimbo10feb16.zip,month_abbreviation_with_digits,10feb16
582,gtfs,North Central Regional Transit District (NCRTD),inactive,https://www.ncrtd.org/wp-content/uploads/2021/05/gtfs-5.12.21.zip,wordpress_upload_folder|locale_date|delimited_year,wp-content/uploads/2021/05/|5.12.21|2021
719,gtfs,Muncie Indiana Transit System (MITS),inactive,http://www.mitsbus.org/wp-content/uploads/2016/11/GTFS.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2016/11/|2016
979,gtfs,Sevibus/DLA Długołęka,inactive,https://www.wroclaw.pl/open-data/87b09b32-f076-4475-8ec9-6020ed1f9ac0/1513602900.0_OtwartyWroclaw_rozklad_jazdy_GTFS.zip,epoch_timestamp,1513602900.0
996,gtfs,Grasse Sillages Scolaire,,https://static.data.gouv.fr/resources/lignes-regulieres-de-transports-en-pays-de-grasse/20210203-152443/20210101-gtfs-sillagesscolaire.zip,iso_date,20210203|20210101
1159,gtfs,STAR,active,https://eu.ftp.opendatasoft.com/star/gtfs/GTFS_2_20250620_20250629_20250603111256.zip,iso_date,20250620|20250629|20250603111256
1175,gtfs,ZDZiT Olsztyn,inactive,https://zdzit.olsztyn.eu/wp-content/uploads/2025/05/GTFS_2025_05_26.zip,wordpress_upload_folder|iso_date|dated_version_tag|delimited_year,wp-content/uploads/2025/05/|2025_05_26|2025
1329,gtfs,Department of Municipalities and Transport,,https://pubftp.dmt.gov.ae/main.html?download&weblink=18511ae7285412ca93169260c239d119&realfilename=itc-abudhabi-ae_itc-abudhabi-ae_1651205153_itc-abudhabi-ae.zip,epoch_timestamp,1651205153
1806,gtfs,Miramichi Transit,,http://miramichitransit.ca/GTFS/MT_GTFS_2019.01.29.b.zip,iso_date|dated_version_tag|delimited_year,2019.01.29|2019
1807,gtfs,SOMATRA,inactive,https://gitlab.com/digitaltransport/data/africa/bamako/-/raw/main/gtfs_Public_Transport_Bamako_Sotrama_01_01_2020_06_42_48.zip?inline=false,locale_date|dated_version_tag|delimited_year,01_01_2020|2020_06_42|2020
1864,gtfs,"Sociedad de Transportes Linea N°5 S.A., Sociedad de Transporte A. Alemania - P. Nuevo S.A - Línea Nº1, Transportes Línea Número Dos Limitada, Transp. P.De Valdivia-P.Las Casas Ltda. Nº3, Transportes Sta. Rosa Limitada., Taxibuses Numero Seis S.A., Empresa Tobalaba, Mall, Cajón S. A. Línea Nº7, Empresa de Transportes Línea Nº 8 P.L. Casas S.A., E. de Transportes de Pasajeros Línea Nueve S.A, Empresa de Transportes Altamira S.A, Fesub",,http://datos.gob.cl/dataset/cef4c471-2837-412b-a78e-1d4c6a261bf9/resource/7887a7e7-9af6-4fc8-b19f-8ff4ea474d1c/download/temuco24nov16.zip,month_abbreviation_with_digits,24nov16
1865,gtfs,"Asociación Gremial Buses Manzanal, Trans-O'higgins, Expreso Rancagua, Asociación de taxibuses Isabel Riquelme, Empresa de Transportes Cordillera Limitada., Asociacion Gremial de Taxibuses Cachapoal de Rancagua",inactive,http://datos.gob.cl/dataset/22cb7071-34f2-46dc-8c2d-dd9b86e9c32f/resource/65b65c20-a4ab-4cca-ba55-d2ef5bbb9605/download/rancagua1feb16.zip,month_abbreviation_with_digits,1feb16
1866,gtfs,"Abate Molina Ltda, Sotratal s.a, Taxutal s.a, Interbus, Talmocur, Buscarril",inactive,https://datos.gob.cl/dataset/22fa7b82-50ec-4c85-aa89-709a8e0dd268/resource/f4526a2f-dd8e-4943-ab12-be997ce04fbb/download/talca1sep16.zip,month_abbreviation_with_digits,1sep16
1867,gtfs,"81 Connection, CityGo, KanConnect",,https://salinacitygo.com/wp-content/uploads/2022/11/export-2022-11-30T10-18-07.zip,wordpress_upload_folder|iso_date|dated_version_tag|delimited_year,wp-content/uploads/2022/11/|2022-11-30|2022
1988,gtfs,Communauté dʼAgglomération Amiens Métropole,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/80705/80705.20240117.090826.898613.zip,iso_date,20240117
1989,gtfs,Communauté dʼAgglomération du Pays de Saint-Omer,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/81457/81457.20231230.060844.417532.zip,iso_date,20231230
1990,gtfs,Communauté Urbaine de Dunkerque (Réseau Dk Bus),,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/81377/81377.20231227.061215.032973.zip,iso_date,20231227
1998,gtfs,PASTEL,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/81589/81589.20240202.094639.078502.zip,iso_date,20240202
2002,gtfs,STGA - réseau Möbius,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/79752/79752.20231005.100848.400086.zip,iso_date,20231005
2003,gtfs,Palmbus,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/79420/79420.20240125.160818.158371.zip,iso_date,20240125
2004,gtfs,CA du Pays de Grasse,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/79822/79822.20230921.151241.357814.zip,iso_date,20230921
2005,gtfs,Impulsyon,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/79520/79520.20240125.180808.025916.zip,iso_date,20240125
2006,gtfs,Transports en Commun Lyonnais (TCL),,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/c6a3d03f-f8e4-44f3-9e7d-fcaf1ab30b92/c6a3d03f-f8e4-44f3-9e7d-fcaf1ab30b92.20220415.060247.709832.zip,iso_date,20220415
2007,gtfs,Irigo,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/80036/80036.20240213.060926.502564.zip,iso_date,20240213
2019,gtfs,Rockford Mass Transit District,,https://dfef8f.p3cdn2.secureserver.net/wp-content/uploads/2023/08/RMTD_GTFS_AUGUST_2023.zip,wordpress_upload_folder|delimited_year|month_name,wp-content/uploads/2023/08/|2023|AUGUST
2034,gtfs,Direccion General de Transporte Publico de Puerto Vallarta,active,https://datos.jalisco.gob.mx/sites/default/files/rutas_mitransporte_puertovallarta_03.12.2021.zip,locale_date|delimited_year,03.12.2021|2021
2059,gtfs,Morro Bay Transit,,https://www.morrobayca.gov/DocumentCenter/View/19231/Morro-Bay-GTFS-Data-Updated-20240510,iso_date,20240510
2078,gtfs,Divers opérateurs,,https://gitlab.com/digitaltransport/data/africa/abidjan_2/-/raw/main/Abidjan_2023/Donn%C3%A9es/Abidjan_Paratransit_GTFS_20230726.zip?ref_type=heads&inline=false,iso_date|delimited_year,20230726|2023
2138,gtfs,OBB Personenverkehr AG Kundenservice,active,https://static.oebb.at/open-data/soll-fahrplan-gtfs/GTFS_OP_2024_obb.zip,delimited_year,2024
2139,gtfs,MAT mobilités,active,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/43126/43126.20240709.120931.048325.zip,iso_date,20240709
2148,gtfs,Sociedade de Transportes Colectivos do Porto (STCP),,https://opendata.porto.digital/dataset/5275c986-592c-43f5-8f87-aabbd4e4f3a4/resource/89a6854f-2ea3-4ba0-8d2f-6558a9df2a98/download/horarios_gtfs_stcp_16_04_2025.zip,locale_date|delimited_year,16_04_2025|2025
2152,gtfs,Ilévia (Réseau de transport Transpole de la Métropole Européenne de Lille),,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/81995/81995.20241104.060921.630251.zip,iso_date,20241104
2153,gtfs,DiviaMobilités,,https://transport-data-gouv-fr-resource-history-prod.cellar-c2.services.clever-cloud.com/80742/80742.20241107.160916.535554.zip,iso_date,20241107
2354,gtfs,SunTran,,https://www.suntran.com/wp-content/uploads/2024/07/SunTranGTFS.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2024/07/|2024
2366,gtfs,"Mi Transporte, Mi Transporte Eléctrico, Mi Macro, Mi Tren, SiTren",,https://datos.jalisco.gob.mx/sites/default/files/gtfs_amg_20240312.zip,iso_date,20240312
2367,gtfs,METROFOR,,https://www.metrofor.ce.gov.br/wp-content/uploads/sites/32/2025/01/gtfs_metrofor.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/sites/32/2025/01/|2025
2404,gtfs,RLV Mobilités,,https://static.data.gouv.fr/resources/donnees-gtfs-1/20241119-134820/gtfs-24-10-14-au-25-08-31.zip,iso_date|locale_date,20241119|24-10-14|25-08-31
2408,gtfs,"Metro Transportes do Sul, Metro Sul do Tejo",,https://mts.pt/imt/MTS-20240129.zip,iso_date,20240129
2412,gtfs,Gainesville Regional Transit System,,http://go-rts.com/wp-content/uploads/2025/01/RTSGTFS_Spring2025.zip,wordpress_upload_folder|delimited_year|labelled_year,wp-content/uploads/2025/01/|2025|Spring2025
2420,gtfs,Muletown Trolley,,https://www.sctdd.org/wp-content/uploads/2025/02/gtfs_muletown.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2025/02/|2025
2426,gtfs,Xpress,,https://gamobility.info/wp-content/uploads/2025/02/Google_Transit.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2025/02/|2025
2461,gtfs,PKS Kalisz,,https://pks.kalisz.pl/wp-content/uploads/2024/10/PKS_20240927.zip,wordpress_upload_folder|iso_date|delimited_year,wp-content/uploads/2024/10/|20240927|2024
2602,gtfs,Moose Jaw Transit,,https://moosejaw.ca/wp-content/uploads/2023/11/moosejaw-GTFS.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2023/11/|2023
2626,gtfs,INTERCOM,,https://static.data.gouv.fr/resources/horaires-du-reseau-de-bus-intercom-3/20240829-161146/gtfs-open-data.zip,iso_date,20240829
2627,gtfs,Transports en Commun de l’Agglomération Troyenne (TCAT),,https://static.data.gouv.fr/resources/donnees-tcat-troyes-champagne-metropole-1/20250428-121833/gtfs-navineo.zip,iso_date,20250428
2628,gtfs,Transports en Commun de l’Agglomération Troyenne (TCAT),,https://static.data.gouv.fr/resources/donnees-tcat-troyes-champagne-metropole-1/20250424-134618/gtfs.zip,iso_date,20250424
2651,gtfs,Verkehrsverbund Rhein-Ruhr,,https://www.opendata-oepnv.de/dataset/496eea5d-d6ef-4dc2-aeb0-d15c4fbf3178/resource/773be6b9-daec-4c39-971a-c9e5668f148b/download/20250508_gtfs_vrr_od.zip,iso_date,20250508
2685,gtfs,Hobus,,https://static.data.gouv.fr/resources/hobus-honfleur/20250110-080454/pt-th-offer-hobus-gtfs-20250109-812-opendata.zip,iso_date,20250110|20250109
2842,gtfs,Cara'bus,,https://data.agglo-royan.fr/dataset/9b761974-a195-4e33-91b7-ecee3b368016/resource/d4915904-ebd0-43cf-9b35-fbfc04ce91fd/download/gtfs_20250613_092554_tdra.zip,iso_date,20250613
2898,gtfs,Systemaufgaben Kundeninformation SKI+,,https://data.opentransportdata.swiss/dataset/timetable-2026-gtfs2020/permalink,delimited_year,2026
2910,gtfs,Gradski parking d.o.o.,active,https://www.gradski-parking.hr/upload/stranice/2022/08/2022-08-30/89/gtfs.zip,iso_date|dated_version_tag|delimited_year,2022-08-30|2022
2923,gtfs,Santa Eulalia Ferry,active,https://www.santaeulaliaferry.com/gtfs_feed_2025.zip,delimited_year,2025
2934,gtfs,Fortaleza,active,https://dados.fortaleza.ce.gov.br/dataset/d6f1e64c-aca3-4867-8f39-53b7c9c2d211/resource/7058bfbe-5ba2-45f4-9a91-af1508a7c05b/download/arquivo_gtfs_03.10.2025.zip,locale_date|delimited_year,03.10.2025|2025
2935,gtfs,ARCE - Agência Reguladora do Estado do Ceará,active,https://www.arce.ce.gov.br/wp-content/uploads/sites/53/2018/11/GTFS_Arce_01082025.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/sites/53/2018/11/|2018
3040,gtfs,Trasporto Passeggeri Emilia-Romagna,,https://solweb.tper.it/web/tools/open-data/open-data-download.aspx?source=solweb.tper.it&filename=gommagtfsbo&version=20260122&format=zip,iso_date|version_query_parameter,20260122|&version=20260122
3041,gtfs,Trasporto Passeggeri Emilia-Romagna,,https://solweb.tper.it/web/tools/open-data/open-data-download.aspx?source=solweb.tper.it&filename=gtfsmex&version=20251223&format=zip,iso_date|version_query_parameter,20251223|&version=20251223
3042,gtfs,Trasporto Passeggeri Emilia-Romagna,,https://solweb.tper.it/web/tools/open-data/open-data-download.aspx?source=solweb.tper.it&filename=gommagtfsfe&version=20260224&format=zip,iso_date|version_query_parameter,20260224|&version=20260224
3051,gtfs,Land Transport Authority (Singapore),active,https://github.com/thecrapone/singapore-gtfs-2026/raw/main/singapore-gtfs.zip,delimited_year,2026
3094,gtfs,Glenn Transit Service,,https://cdn.hibuwebsites.com/af26dd3d53e046cf8ce6ac6dc92e7b14/files/uploaded/glenn-county-transit-service-google-transit-2026-01.zip,delimited_year,2026
3096,gtfs,Ventura County Transportation Commission,,https://www.goventura.org/wp-content/uploads/2026/02/20260213-GMV_Schedule.zip,wordpress_upload_folder|iso_date|delimited_year,wp-content/uploads/2026/02/|2026/02/20260213|2026
3097,gtfs,Glendora Transportation Division,active,https://www.cityofglendora.gov/files/assets/city/v/3/recreation-amp-human-services/transportation/documents/gtfs-6-2025.zip,delimited_year,2025
3113,gtfs,Steel Valley Regional Transit Authority,inactive,https://svrta.com/wp-content/uploads/2025/12/svrta-steubenville-oh-us-2.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2025/12/|2025
3124,gtfs,Metropolitana di Catania - Ferrovia Circumetnea,inactive,https://www.circumetnea.it/download/general-transit-feed-specification-fce-01-02-2025-28-02-2028/?wpdmdl=17798&refresh=69c2e93fcbfb51774381375,locale_date|dated_version_tag|delimited_year,01-02-2025|28-02-2028|2025-28-02|2025|2028
3146,gtfs,SkyBus Melbourne,,https://paueasasskybusgtfs.blob.core.windows.net/gtfs-live/VIC/gtfs.zip?sp=rl&st=2026-02-18T06:46:07Z&se=2027-02-28T15:01:07Z&spr=https&sv=2024-11-04&sr=c&sig=x%2FlTHzTlGBw5D1RxF3VDkcGPf5xYjRceeXAoOjzRfnM%3D,iso_date|dated_version_tag|delimited_year,2026-02-18|2027-02-28|2024-11-04|2026|2027|2024
3147,gtfs,SkyBus Hobart,,https://paueasasskybusgtfs.blob.core.windows.net/gtfs-live/TAS/gtfs.zip?sp=rl&st=2026-02-18T06:46:07Z&se=2027-02-28T15:01:07Z&spr=https&sv=2024-11-04&sr=c&sig=x%2FlTHzTlGBw5D1RxF3VDkcGPf5xYjRceeXAoOjzRfnM%3D,iso_date|dated_version_tag|delimited_year,2026-02-18|2027-02-28|2024-11-04|2026|2027|2024
3154,gtfs,DZK,,https://www.detskazeleznica.sk/files/2026-04-07-112452-DZK_GTFS_2026_final.zip,iso_date|dated_version_tag|delimited_year,2026-04-07|2026
3185,gtfs,"Kumejima Ocean Jet Co., Ltd.",,https://portai.jp/wp-content/uploads/2026/05/gtfs-koj-v1.zip,wordpress_upload_folder|delimited_year,wp-content/uploads/2026/05/|2026
3357,gtfs,"Red Metropolitana de Movilida, EFE Trenes de Chile, Bus de Acercamiento Aeropuerto, Metro de Santiago",,https://www.dtpm.cl/descargas/gtfs/GTFS_20260704.zip,iso_date,20260704
3358,gtfs,SIMUR Bogota,,https://storage.googleapis.com/gtfs-estaticos/GTFS-2026-04-29.zip,iso_date|dated_version_tag|delimited_year,2026-04-29|2026
3361,gtfs,Hyderabad TGSRTC Bus,,https://data.opencity.in/dataset/88e2d145-7ec6-4666-88dd-6cf18b18312e/resource/1b0d18bb-b2fb-4a79-8ed0-1e071da5790c/download/telangana_opendata_gtfs_tgsrtc_08_february_2026.zip,delimited_year|month_name,2026|february
3362,gtfs,Hamburger Verkehrsverbund GmbH (HVV),active,https://daten.transparenz.hamburg.de/Dataport.HmbTG.ZS.Webservice.GetRessource100/GetRessource100.svc/f0073555-962c-4d55-870e-b94bb676ad9d/Upload__hvv_Rohdaten_GTFS_Fpl_20260408.ZIP,iso_date,20260408
3409,gtfs,Singapore typical weekday,,https://github.com/Vorld/singapore-gtfs/releases/download/v2026-07-12/singapore-gtfs.zip,iso_date|dated_version_tag,2026-07-12
3433,gtfs,Fredericksburg Regional Transit,,https://www.fredericksburgva.gov/DocumentCenter/View/31122/FXBGO-GTFS---CY2026,labelled_year,CY2026
3434,gtfs,Birmingham Jefferson County Transit Authority (MAX),,https://maxtransit.org/GTFS/2026/google_transit_Working.zip,delimited_year,2026
